edition,id,author,username,url,title,has_video,video_count,created_at,body
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2ODkwN10=,,,https://contra.com/community/qs6MNPXZ-interactive-wedding-invitation-tap-to-uncover,"A wedding invite you don’t just read — you play!
Each tap  is a little surprise ",False,0,2025-09-09T14:33:45,"A wedding invite you don’t just read — you play!
Each tap  is a little surprise on the way to “I do!”

Click to enjoy the celebration:
 
"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDQxMl0=,,,https://contra.com/community/vmNMqkrm-explore-a-unique-severance-inspired-macrodata-simulator,Any fans of Severance here? I made a  in ~6 hours. Much of the time was spent pr,True,1,2025-09-10T18:35:53,"Any fans of Severance here? I made a  in ~6 hours. Much of the time was spent prompting to get the animations juuuust right, and also drawing (in Figma) the computer, Lumon Terminal Pro, which I learned Apple was ""selling"" on their site around the time of the season 2 premier 🤯! It's not mobile-frie"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk4MF0=,,,https://contra.com/community/QZERRF3c-innovative-infinite-canvas-for-world-building,PLAYGRID - Create your world with an infinite canvas Click on a tile and start g,True,1,2025-09-11T06:59:42,PLAYGRID - Create your world with an infinite canvas Click on a tile and start generating your world.
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk3NV0=,,,https://contra.com/community/FXPsWPWl-instant-custom-portfolio-builder-showcase-your,"This is my second submission for the Makeathon: Portfolio Generator.
Ever wished",False,0,2025-09-11T06:59:10,"This is my second submission for the Makeathon: Portfolio Generator.
Ever wished you could showcase your skills and experience in a personalized portfolio website—instantly?
Visit: Simply upload your LinkedIn profile or CV, and—boom!—your custom portfolio is ready in seconds.
"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk4NV0=,,,https://contra.com/community/qN3NcrRY-explore-mythical-bio-augmentation-with-zoodoo-lab, Meet Zoodoo lab!!A Mythical Bio-Augmentation lab where you act as a DNA scienti,False,0,2025-09-11T07:00:12," Meet Zoodoo lab!!A Mythical Bio-Augmentation lab where you act as a DNA scientist, exploring with different DNA’s of animals ranging from common to mythical, fusing them together to create a fantasy beat. The results are hilarious as well as fascinating, giving a reason to your curiosity.This is a "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk4NF0=,,,https://contra.com/community/2vm62WvU-community-election-app-streamline-your-voting,  This app Help to choose right person,False,0,2025-09-11T07:00:12,  This app Help to choose right person
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk2Nl0=,,,https://contra.com/community/MmLWkr7g-explore-interactive-ascii-art-camera,Came up with an ASCII art style interactive camera! You might have to visit the ,False,0,2025-09-11T06:58:55,"Came up with an ASCII art style interactive camera! You might have to visit the link because of the webcam access.

"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg5Ml0=,,,https://contra.com/community/ccc6WYkY-a-clean-minimal-and-playful,🎹✨ Excited to share my submission for the Figma Make-a-thon!I designed an Intera,False,0,2025-09-11T06:56:16,"🎹✨ Excited to share my submission for the Figma Make-a-thon!I designed an Interactive Piano Experience — a clean, minimal, and playful design that transforms the classic piano into a digital-first interface. The idea was to explore how musical expression can be reimagined visually in Figma:🎶 Key Fea"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDQwNF0=,,,https://contra.com/community/AZPv7OMN-revolutionize-discipline-500-days-of-financial, A 500-days personal commitment journey that combines financial motivation with ,False,0,2025-09-10T18:30:07," A 500-days personal commitment journey that combines financial motivation with daily discipline rituals. Built on the philosophy that ""Revolution Requires Discipline"" - this app enforces commitment through strategic limitations and gamified rewards."
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2ODkzOV0=,,,https://contra.com/community/ZoRMBQUs-boost-team-communication-with-bridge-the,Have you ever wondered if other people face the same problems when communicating,False,0,2025-09-09T15:03:24,"Have you ever wondered if other people face the same problems when communicating across teams? 🤔For my third submission, I created , a playful prototype where:😬 Adding a challenge (Gap) makes the bridge stretch further apart.🧱 Adding a solution (Step) lays down a brick to close it.It’s a fun way to "
